latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
29.67414,90.92401,313.22,2.51,1.52,2026-09-02,328,Terra,MODIS,32,6.1NRT,289.98,36.4,D
29.92456,91.11782,301.52,2.55,1.54,2026-09-02,328,Terra,MODIS,24,6.1NRT,285.74,8.84,D
31.46483,92.0632,305.46,2.73,1.58,2026-09-02,328,Terra,MODIS,37,6.1NRT,290.24,20.06,D
31.47829,92.06721,305.88,2.73,1.58,2026-09-02,328,Terra,MODIS,52,6.1NRT,289.96,21.85,D
17.95656,80.79465,313.96,1.01,1,2026-09-02,330,Terra,MODIS,70,6.1NRT,292.87,6.71,D
9.42805,80.39365,318.82,1.12,1.06,2026-09-02,332,Terra,MODIS,26,6.1NRT,299.75,6.72,D
9.43733,80.39502,323.37,1.12,1.06,2026-09-02,332,Terra,MODIS,76,6.1NRT,299.72,12.01,D
9.43879,80.3851,320.56,1.12,1.06,2026-09-02,332,Terra,MODIS,67,6.1NRT,300.01,8.95,D
9.64133,80.32673,325.68,1.11,1.05,2026-09-02,332,Terra,MODIS,0,6.1NRT,298.54,17.22,D
9.64277,80.31691,331.33,1.11,1.05,2026-09-02,332,Terra,MODIS,63,6.1NRT,299.25,24.88,D
10.05997,77.48689,316.13,1.03,1.01,2026-09-02,332,Terra,MODIS,62,6.1NRT,296.17,6.26,D
10.77215,78.89324,326.07,1,1,2026-09-02,332,Terra,MODIS,74,6.1NRT,300.95,13.09,D
11.59171,77.2715,314.09,1.06,1.03,2026-09-02,332,Terra,MODIS,58,6.1NRT,296.23,8.56,D
12.06543,79.60217,318.69,1.01,1.01,2026-09-02,332,Terra,MODIS,64,6.1NRT,294.53,8.52,D
12.25058,77.16926,311.24,1.09,1.04,2026-09-02,332,Terra,MODIS,53,6.1NRT,293.29,6.09,D
14.75673,79.6914,319.24,1,1,2026-09-02,332,Terra,MODIS,70,6.1NRT,296.23,5.96,D
9.29323,77.48998,321.49,1.02,1.01,2026-09-02,334,Terra,MODIS,72,6.1NRT,302.15,7.35,D
24.94081,90.9631,314.15,1.51,1.21,2026-09-02,902,Aqua,MODIS,60,6.1NRT,292.23,7.84,D
29.54871,90.99774,312.16,1.25,1.11,2026-09-02,902,Aqua,MODIS,68,6.1NRT,296.31,8.01,D
29.66946,91.32726,314.07,1.2,1.09,2026-09-02,902,Aqua,MODIS,41,6.1NRT,299.6,10.86,D
32.90065,84.57795,304.55,2.76,1.59,2026-09-02,905,Aqua,MODIS,34,6.1NRT,288.04,15.84,D
32.90652,84.57077,308.89,2.76,1.59,2026-09-02,905,Aqua,MODIS,63,6.1NRT,287.41,28.86,D
12.09725,77.06553,316.63,1.29,1.13,2026-09-02,1034,Aqua,MODIS,54,6.1NRT,294.71,11.21,D
15.18033,76.67941,304.8,1.06,1.03,2026-09-02,2246,Aqua,MODIS,27,6.1NRT,291.56,4.73,N
15.18183,76.66988,305.82,1.06,1.03,2026-09-02,2246,Aqua,MODIS,65,6.1NRT,291.39,5.39,N
15.18333,76.66036,304.19,1.06,1.03,2026-09-02,2246,Aqua,MODIS,26,6.1NRT,291.55,4.18,N
27.3769,95.34052,309.74,1.08,1.04,2026-09-03,228,Terra,MODIS,46,6.1NRT,289.96,5.24,D
35.70596,73.66457,305.63,1.02,1.01,2026-09-03,404,Terra,MODIS,49,6.1NRT,291.51,5.79,D
29.90999,74.94506,321.82,1.07,1.03,2026-09-03,406,Terra,MODIS,68,6.1NRT,297.75,13.22,D
8.42492,80.70513,314.8,3.78,1.82,2026-09-03,934,Aqua,MODIS,57,6.1NRT,291.77,44.32,D
23.67901,86.394,318.19,1,1,2026-09-03,939,Aqua,MODIS,0,6.1NRT,296,10.45,D
23.70473,86.44762,315.73,1,1,2026-09-03,939,Aqua,MODIS,72,6.1NRT,296.46,7.61,D
23.73263,86.43703,313.69,1,1,2026-09-03,939,Aqua,MODIS,54,6.1NRT,294.72,7.89,D
23.76878,86.19783,310.67,1,1,2026-09-03,939,Aqua,MODIS,62,6.1NRT,292.73,4.41,D
23.77018,86.20729,310.01,1,1,2026-09-03,939,Aqua,MODIS,59,6.1NRT,292.93,3.71,D
23.8012,86.33105,316.91,1,1,2026-09-03,939,Aqua,MODIS,62,6.1NRT,296.69,8.56,D
29.9098,74.95193,314.59,3.34,1.72,2026-09-03,939,Aqua,MODIS,60,6.1NRT,291.04,48.91,D
